ID,online-retailer,title,Galileo,Beidou,fast charging,thermal camera,operating system,notification diode,auto focus,number of ratings,memory card slot,in-display fingerprint reader,removable battery,colour,number of front camera lenses,5G,reverse wireless charging,face unlock,configuration cards,resolution total,resolution height,3.5mm jack,processor manufacturer,SIM card type,wide angle lens,Bokeh effect,hybrid zoom,without fingerprint reader,brand,macro mode,rear cam resolution,width,optical zoom,NFC,display size,GPS,warranty,display refresh rate,weight,Bluetooth,connector,resolution width,A-GPS,GLONASS,cutout shape,maximum memory card size,body fingerprint reader,rating,Wi-Fi,4G/LTE,flash diode,infrared,depth,volume,number of rear camera lenses,price,degree of protection,number of cores,battery type,charging power,length,front cam resolution,night mode,RAM,processor model,processor frequency,battery capacity,wireless charging,telephoto,FM-radio,internal memory,system superstructure
1,DatArt,Mobilní telefon Xiaomi Redmi Note 13 Pro+ 5G 12 GB / 512 GB (50808) černý,True,True,True,False,Android 13.0,False,True,29,False,True,False,black,1,True,False,True,Dual SIM (2x SIM),3308640,1220,False,MediaTek,nano SIM,True,False,False,False,Xiaomi,True,200.0,7.4,False,True,6.67,True,24,120,200.0,True,USB-C,2712,False,True,bullet hole,,False,5.0,True,True,True,True,0.9,107.22600000000001,3,12499,IP68,8,Li-Pol,120,16.1,16.0,True,12,Dimensity 7200 Ultra,2.8,5000,False,False,False,512,MIUI
2,DatArt,Mobilní telefon Apple iPhone 15 Pro 128GB Natural Titanium (MTUX3SX/A),True,True,True,False,iOs 17,False,True,17,False,False,False,titanium,1,True,False,True,Single SIM + eSIM,3013524,1179,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.1,False,True,6.1,True,24,120,200.0,True,USB-C,2556,False,True,rectangle,,False,4.7,True,True,True,False,0.8,83.496,3,28490,IP68,6,Li-Ion,,14.7,12.0,True,,A17 Pro,,,True,False,False,128,without superstructure
3,DatArt,Mobilní telefon Apple iPhone 15 Pro 128GB Black Titanium (MTUV3SX/A),True,True,True,False,iOs 17,False,True,14,False,False,False,black,1,True,False,True,Single SIM + eSIM,3013524,1179,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.1,False,True,6.1,True,24,120,200.0,True,USB-C,2556,False,True,rectangle,,False,4.7,True,True,True,False,0.8,83.496,3,28490,IP68,6,Li-Ion,,14.7,12.0,True,,A17 Pro,,,True,False,False,128,without superstructure
4,DatArt,Mobilní telefon Apple iPhone 12 64 GB - Blue (MGJ83CN/A),True,True,True,False,iOS 14,False,True,111,False,False,False,blue,1,True,False,True,Single SIM + eSIM,2962440,1170,False,Apple,nano SIM  + eSIM,True,False,False,False,Apple,False,12.0,7.2,False,True,6.1,True,24,,200.0,True,Lightning,2532,True,True,rectangle,,False,4.8,True,True,True,False,0.7,74.088,2,13490,IP68,6,Li-Ion,20,14.7,12.0,True,4,A14 Bionic,3.1,,True,False,False,64,without superstructure
5,DatArt,Mobilní telefon Apple iPhone 15 128GB Black (MTP03SX/A),True,True,True,False,iOs 17,False,True,39,False,False,False,black,1,True,False,True,Single SIM + eSIM,3013524,1179,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.2,False,True,6.1,True,24,60,200.0,True,USB-C,2556,False,True,rectangle,,False,4.8,True,True,True,False,0.8,85.24800000000002,2,22490,IP68,6,Li-Ion,,14.8,12.0,True,,A16 Bionic,,,True,False,False,128,without superstructure
6,DatArt,Mobilní telefon Apple iPhone 15 Pro 128GB White Titanium (MTUW3SX/A),True,True,True,False,iOs 17,False,True,3,False,False,False,white,1,True,False,True,Single SIM + eSIM,3013524,1179,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.1,False,True,6.1,True,24,120,200.0,True,USB-C,2556,False,True,rectangle,,False,4.3,True,True,True,False,0.8,83.496,3,28490,IP68,6,Li-Ion,,14.7,12.0,True,,A17 Pro,,,True,False,False,128,without superstructure
7,DatArt,Mobilní telefon Xiaomi Redmi Note 13 Pro 5G 8 GB / 256 GB (50839) černý,True,True,True,False,Android 13.0,False,True,37,False,True,False,black,1,True,False,True,Dual SIM (2x SIM),3308640,1220,True,Qualcomm,nano SIM,True,False,False,False,Xiaomi,True,200.0,7.5,False,True,6.67,True,24,120,200.0,True,USB-C,2712,False,True,bullet hole,,False,4.9,True,True,True,True,0.8,96.60000000000001,3,8999,IP54,8,Li-Pol,67,16.1,16.0,True,8,Snapdragon 7s Gen 2,2.4,5100,False,False,False,256,MIUI
8,DatArt,Mobilní telefon Apple iPhone 15 Pro 256GB Natural Titanium (MTV53SX/A),True,True,True,False,iOs 17,False,True,18,False,False,False,titanium,1,True,False,True,Single SIM + eSIM,3013524,1179,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.1,False,True,6.1,True,24,120,200.0,True,USB-C,2556,False,True,rectangle,,False,4.9,True,True,True,False,0.8,83.496,3,31490,IP68,6,Li-Ion,,14.7,12.0,True,,A17 Pro,,,True,False,False,256,without superstructure
9,DatArt,Mobilní telefon Apple iPhone 15 Pro Max 256GB Black Titanium (MU773SX/A),True,True,True,False,iOs 17,False,True,7,False,False,False,black,1,True,False,True,Single SIM + eSIM,3606840,1290,False,Apple,nano SIM  + eSIM,True,True,False,False,Apple,False,48.0,7.7,False,True,6.7,True,24,120,200.0,True,USB-C,2796,False,True,rectangle,,False,5.0,True,True,True,False,0.8,98.56,3,34490,IP68,6,Li-Ion,,16.0,12.0,True,,A17 Pro,,,True,False,False,256,without superstructure
10,DatArt,Mobilní telefon Xiaomi Redmi Note 13 Pro 8 GB / 256 GB (52848) černý,True,True,True,False,Android 13.0,False,True,2,True,True,False,black,1,False,False,True,Hybrid slot (2x SIM or 1x SIM + memory card),2592000,1080,True,MediaTek,nano SIM,True,False,False,False,Xiaomi,True,200.0,7.5,False,True,6.67,True,24,120,200.0,True,USB-C,2400,False,True,bullet hole,1,False,5.0,True,True,True,True,0.8,96.60000000000001,3,6999,IP54,8,Li-Pol,67,16.1,16.0,True,8,Helio G99 Ultra,2.2,5000,False,False,False,256,MIUI
