ID;processor manufacturer;title;WiFi standard;4G/LTE;built-in flash;bluetooth;processor model;degree of protection;rating;resolution label;flash type;charging power;os brand;sim card type;operating system;display refresh rate;NFC;display type;number of rear camera lenses;configuration cards;front cam resolution;5G;price;resolution width;number of front camera lenses;GPS;online-retailer;front cam;memory card slot;colour;wireless charging;display fineness;battery capacity;internal memory;smart;display size;volume;fast charging;resolution total;number of ratings;water resistant;weight;width;body fingerprint reader;resolution height;number of cores;depth;wireless charging performance;3.5mm jack;connector;rear cam resolution;face unlock;dual SIM support;brand;FM-radio;in-display fingerprint reader;RAM;length
1;Qualcomm Snapdragon;Samsung Galaxy Z Fold5 512 GB modrý;802.11ax;1;1;5,3;8 Gen 2;IPX8;;Quad HD+;LED;;Android;eSIM, nano sim;Android 13;120;1;Dynamic Amoled 2X;3;Dual SIM + eSIM;12;1;47999;2176;1;1;Electroworld;1;0;blue;1;376;4400;512;1;7,6;139276,786;1;3942912;0;1;254;67,1;1;1812;8;13,4;10;0;USB-C;50;;1;Samsung;0;;12;154,9
2;Qualcomm Snapdragon;Samsung Galaxy Z Fold5 512 GB béžový;802.11ax;1;1;5,3;8 Gen 2;IPX8;;Quad HD+;LED;;Android;eSIM, nano sim;Android 13;120;1;Dynamic Amoled 2X;3;Dual SIM + eSIM;12;1;47999;2176;1;1;Electroworld;1;0;beige;1;376;4400;512;1;7,6;139276,786;1;3942912;0;1;254;67,1;1;1812;8;13,4;10;0;USB-C;50;;1;Samsung;0;;12;154,9
3;Qualcomm Snapdragon;Samsung Galaxy Z Fold5 512 GB černý;802.11ax;1;1;5,3;8 Gen 2;IPX8;;Quad HD+;LED;;Android;eSIM, nano sim;Android 13;120;1;Dynamic Amoled 2X;3;Dual SIM + eSIM;12;1;47999;2176;1;1;Electroworld;1;0;black;1;376;4400;512;1;7,6;139276,786;1;3942912;0;1;254;67,1;1;1812;8;13,4;10;0;USB-C;50;;1;Samsung;0;;12;154,9
4;Apple;Apple iPhone 15 Pro Max 1TB Black Titanium černý titan;802.11ax;1;1;5,3;A17 Pro;IP 68;;Full HD+;True Tone;;iOS;nano sim;iOS 17;120;1;OLED;3;Single SIM + eSIM;12;1;46490;2796;1;1;Electroworld;1;0;black;1;460;;1000;1;6,7;101180,7225;1;3606840;0;1;221;76,7;;1290;6;8,25;15;0;USB-C;48;1;1;Apple;0;;;159,9
5;Apple;Apple iPhone 15 Pro Max 1TB Natural Titanium přírodní titan;802.11ax;1;1;5,3;A17 Pro;IP 68;5;Full HD+;True Tone;;iOS;nano sim;iOS 17;120;1;OLED;3;Single SIM + eSIM;12;1;46490;2796;1;1;Electroworld;1;0;grey;1;460;;1000;1;6,7;101180,7225;1;3606840;1;1;221;76,7;;1290;6;8,25;15;0;USB-C;48;1;1;Apple;0;;;159,9
6;Apple;Apple iPhone 15 Pro Max 1TB Blue Titanium modrý titan;802.11ax;1;1;5,3;A17 Pro;IP 68;;Full HD+;True Tone;;iOS;nano sim;iOS 17;120;1;OLED;3;Single SIM + eSIM;12;1;46490;2796;1;1;Electroworld;1;0;blue;1;460;;1000;1;6,7;101180,7225;1;3606840;0;1;221;76,7;;1290;6;8,25;15;0;USB-C;48;1;1;Apple;0;;;159,9
7;Apple;Apple iPhone 15 Pro Max 1TB White Titanium bílý titan;802.11ax;1;1;5,3;A17 Pro;IP 68;;Full HD+;True Tone;;iOS;nano sim;iOS 17;120;1;OLED;3;Single SIM + eSIM;12;1;46490;2796;1;1;Electroworld;1;0;white;1;460;;1000;1;6,7;101180,7225;1;3606840;0;1;221;76,7;;1290;6;8,25;15;0;USB-C;48;1;1;Apple;0;;;159,9
8;Qualcomm Snapdragon;Samsung Galaxy Z Fold5 256 GB béžový;802.11ax;1;1;5,3;8 Gen 2;IPX8;;Quad HD+;LED;;Android;eSIM, nano sim;Android 13;120;1;Dynamic Amoled 2X;3;Dual SIM + eSIM;12;1;44999;2176;1;1;Electroworld;1;0;beige;1;376;4400;256;1;7,6;139276,786;1;3942912;0;1;254;67,1;1;1812;8;13,4;10;0;USB-C;50;;1;Samsung;0;;12;154,9
9;Qualcomm Snapdragon;Samsung Galaxy Z Fold5 256 GB černý;802.11ax;1;1;5,3;8 Gen 2;IPX8;5;Quad HD+;LED;;Android;eSIM, nano sim;Android 13;120;1;Dynamic Amoled 2X;3;Dual SIM + eSIM;12;1;44999;2176;1;1;Electroworld;1;0;black;1;376;4400;256;1;7,6;139276,786;1;3942912;1;1;254;67,1;1;1812;8;13,4;10;0;USB-C;50;;1;Samsung;0;;12;154,9
10;Qualcomm Snapdragon;Samsung Galaxy Z Fold5 256 GB modrý;802.11ax;1;1;5,3;8 Gen 2;IPX8;;Quad HD+;LED;;Android;eSIM, nano sim;Android 13;120;1;Dynamic Amoled 2X;3;Dual SIM + eSIM;12;1;44999;2176;1;1;Electroworld;1;0;blue;1;376;4400;256;1;7,6;139276,786;1;3942912;0;1;254;67,1;1;1812;8;13,4;10;0;USB-C;50;;1;Samsung;0;;12;154,9
11;Apple;Apple iPhone 15 Pro 1TB Natural Titanium přírodní titan;802.11ax;1;1;5,3;A17 Pro;IP 68;;Full HD+;True Tone;;iOS;nano sim;iOS 17;120;1;OLED;3;Single SIM + eSIM;12;1;43490;2556;1;1;Electroworld;1;0;grey;1;460;;1000;1;6,1;85387,17;1;3013524;0;1;187;70,6;;1179;6;8,25;15;0;USB-C;48;1;1;Apple;0;;;146,6
12;Apple;Apple iPhone 15 Pro 1TB Black Titanium černý titan;802.11ax;1;1;5,3;A17 Pro;IP 68;;Full HD+;True Tone;;iOS;nano sim;iOS 17;120;1;OLED;3;Single SIM + eSIM;12;1;43490;2556;1;1;Electroworld;1;0;black;1;460;;1000;1;6,1;85387,17;1;3013524;0;1;187;70,6;;1179;6;8,25;15;0;USB-C;48;1;1;Apple;0;;;146,6
13;Apple;Apple iPhone 15 Pro 1TB White Titanium bílý titan;802.11ax;1;1;5,3;A17 Pro;IP 68;5;Full HD+;True Tone;;iOS;nano sim;iOS 17;120;1;OLED;3;Single SIM + eSIM;12;1;43490;2556;1;1;Electroworld;1;0;white;1;460;;1000;1;6,1;85387,17;1;3013524;1;1;187;70,6;;1179;6;8,25;15;0;USB-C;48;1;1;Apple;0;;;146,6
14;Apple;Apple iPhone 15 Pro 1TB Blue Titanium modrý titan;802.11ax;1;1;5,3;A17 Pro;IP 68;;Full HD+;True Tone;;iOS;nano sim;iOS 17;120;1;OLED;3;Single SIM + eSIM;12;1;43490;2556;1;1;Electroworld;1;0;blue;1;460;;1000;1;6,1;85387,17;1;3013524;0;1;187;70,6;;1179;6;8,25;15;0;USB-C;48;1;1;Apple;0;;;146,6
15;Apple;Apple iPhone 15 Pro Max 512GB Black Titanium černý titan;802.11ax;1;1;5,3;A17 Pro;IP 68;5;Full HD+;True Tone;;iOS;nano sim;iOS 17;120;1;OLED;3;Single SIM + eSIM;12;1;40490;2796;1;1;Electroworld;1;0;black;1;460;;512;1;6,7;101180,7225;1;3606840;1;1;221;76,7;;1290;6;8,25;15;0;USB-C;48;1;1;Apple;0;;;159,9
16;Apple;Apple iPhone 15 Pro Max 512GB Natural Titanium přírodní titan;802.11ax;1;1;5,3;A17 Pro;IP 68;5;Full HD+;True Tone;;iOS;nano sim;iOS 17;120;1;OLED;3;Single SIM + eSIM;12;1;40490;2796;1;1;Electroworld;1;0;grey;1;460;;512;1;6,7;101180,7225;1;3606840;2;1;221;76,7;;1290;6;8,25;15;0;USB-C;48;1;1;Apple;0;;;159,9
